4	sage 𝑚with timestamp ⟨𝑚𝑥.𝑚,offset.𝑚[],counter.𝑚[]⟩.	sage 𝑚 with timestamp ⟨𝑚𝑥.𝑚,offset.𝑚[],counter.𝑚[]⟩.	sage@53.80-69.88/8.97/f58848 | 𝑚@71.56-78.58/8.97/f19904 | withtimestamp@81.14-138.68/8.97/f58848 | ⟨@141.28-144.54/8.97/f20704 | 𝑚𝑥.𝑚,@143.97-166.84/8.97/f19904 | offset@168.43-195.33/8.97/f64512 | .𝑚@195.47-204.05/8.97/f19904 | []@204.90-211.14/8.97/f20704 | ,@211.41-213.38/8.97/f19904 | counter@214.97-246.35/8.97/f64512 | .𝑚@246.49-255.07/8.97/f19904 | []⟩@255.93-265.96/8.97/f20704 | .@266.32-268.29/8.97/f58848
4	the same epoch, counter.𝑗.𝑗 is incremented by 1. If only 𝑚and 𝑓	the same epoch, counter.𝑗.𝑗 is incremented by 1. If only 𝑚 and 𝑓	thesameepoch,@317.95-377.17/9.04/f58848 | counter@379.41-410.80/8.97/f64512 | .𝑗.𝑗@410.94-422.25/8.97/f19904 | isincrementedby@425.32-491.06/9.04/f58848 | 1@493.30-497.50/9.04/f20064 | .Ifonly@497.50-525.96/9.04/f58848 | 𝑚@527.64-534.66/8.97/f19904 | and@537.22-550.82/9.04/f58848 | 𝑓@553.51-556.33/8.97/f19904
4	are in the same epoch, counter.𝑗is set to counter.𝑚and the value	are in the same epoch, counter.𝑗 is set to counter.𝑚 and the value	areinthesameepoch,@317.95-397.35/8.79/f58848 | counter@399.33-430.71/8.97/f64512 | .𝑗@430.85-436.02/8.97/f19904 | issetto@438.83-465.93/8.79/f58848 | counter@467.90-499.28/8.97/f64512 | .𝑚@499.43-508.01/8.97/f19904 | andthevalue@510.30-558.20/8.79/f58848
4	Let 𝑚be the message that was received	Let 𝑚 be the message that was received	Let@333.20-344.77/8.97/f58848 | 𝑚@346.45-353.47/8.97/f19904 | bethemessagethatwasreceived@356.03-477.57/8.97/f58848
4	will be as shown in Figure 3. Here, event 𝐴has physical time of 50.	will be as shown in Figure 3. Here, event 𝐴 has physical time of 50.	willbeasshowninFigure3.Here,event@317.62-464.60/8.85/f58848 | 𝐴@466.57-472.55/8.97/f19904 | hasphysicaltimeof@474.92-547.17/8.85/f58848 | 50@549.40-557.64/8.85/f20064 | .@557.64-559.58/8.85/f58848
4	is 0. When event 𝐵is created upon receiving message 𝑚1, process	is 0. When event 𝐵 is created upon receiving message 𝑚1, process	is@317.95-323.88/8.97/f58848 | 0@326.13-330.30/8.97/f20064 | .Whenevent@330.30-379.01/8.97/f58848 | 𝐵@381.17-386.17/8.97/f19904 | iscreateduponreceivingmessage@388.82-513.74/8.97/f58848 | 𝑚@515.43-522.45/8.97/f19904 | 1@522.76-526.15/7.27/f20064 | ,process@526.64-558.21/8.97/f58848
5	determine if < relation holds between 𝑅𝑒𝑝𝐶𝑙.𝑒and 𝑅𝑒𝑝𝐶𝑙.𝑓. Finally,	determine if < relation holds between 𝑅𝑒𝑝𝐶𝑙.𝑒 and 𝑅𝑒𝑝𝐶𝑙.𝑓. Finally,	determineif@53.80-97.13/8.79/f58848 | <@99.18-104.89/8.97/f20864 | relationholdsbetween@106.95-188.14/8.79/f58848 | 𝑅𝑒𝑝𝐶𝑙.𝑒@189.82-217.89/8.97/f19904 | and@220.40-233.62/8.79/f58848 | 𝑅𝑒𝑝𝐶𝑙.𝑓@235.31-263.37/8.97/f19904 | .Finally,@265.24-295.03/8.79/f58848
5	well. In this case, 𝑗will learn about the clock of a process 𝑘via such	well. In this case, 𝑗 will learn about the clock of a process 𝑘 via such	well.Inthiscase,@317.62-378.20/8.79/f58848 | 𝑗@380.89-383.22/8.97/f19904 | willlearnabouttheclockofaprocess@386.02-520.26/8.79/f58848 | 𝑘@521.87-526.23/8.97/f19904 | viasuch@528.88-558.20/8.79/f58848
5	messages. Additionally, 𝑗will also learn about the clock of a process	messages. Additionally, 𝑗 will also learn about the clock of a process	messages.Additionally,@317.95-401.41/8.79/f58848 | 𝑗@403.97-406.29/8.97/f19904 | willalsolearnabouttheclockofaprocess@408.95-558.20/8.79/f58848
6	guarantee of 1.1𝑚𝑠will be replayed only in one order. Additionally,	guarantee of 1.1𝑚𝑠 will be replayed only in one order. Additionally,	guaranteeof@53.80-98.93/8.79/f58848 | 1@101.09-105.17/8.79/f20064 | .@105.31-107.29/8.97/f19904 | 1@107.44-111.53/8.79/f20064 | 𝑚𝑠@110.96-121.10/8.97/f19904 | willbereplayedonlyinoneorder.Additionally,@123.89-295.03/8.79/f58848
6	efficient computation. As written, 𝑅𝑒𝑝𝐶𝑙will require 2𝑛+1 integers.	efficient computation. As written, 𝑅𝑒𝑝𝐶𝑙 will require 2𝑛+1 integers.	efficientcomputation.Aswritten,@53.80-173.54/8.79/f58848 | 𝑅𝑒𝑝𝐶𝑙@175.25-196.97/8.97/f19904 | willrequire@199.66-240.92/8.79/f58848 | 2@242.81-246.89/8.79/f20064 | 𝑛@246.53-251.18/8.97/f19904 | +@252.54-257.60/8.97/f20704 | 1@258.65-262.74/8.79/f20064 | integers.@264.63-295.43/8.79/f58848
6	using 𝑂(𝑥)time where 𝑥is the number of bits set to 1 in the bitmap.	using 𝑂(𝑥)time where 𝑥 is the number of bits set to 1 in the bitmap.	using@53.80-73.43/8.79/f58848 | 𝑂@74.92-80.91/8.97/f19904 | (@82.08-85.06/8.97/f20704 | 𝑥@85.15-89.41/8.97/f19904 | )@90.21-93.20/8.97/f20704 | timewhere@95.54-135.80/8.79/f58848 | 𝑥@137.42-141.68/8.97/f19904 | isthenumberofbitssetto@144.37-238.35/8.79/f58848 | 1@240.24-244.33/8.79/f20064 | inthebitmap.@246.22-295.42/8.79/f58848
6	As demonstrated in Section 5, the overhead of 𝑅𝑒𝑝𝐶𝑙depends upon	As demonstrated in Section 5, the overhead of 𝑅𝑒𝑝𝐶𝑙 depends upon	AsdemonstratedinSection5,theoverheadof@317.64-481.68/8.79/f58848 | 𝑅𝑒𝑝𝐶𝑙@483.54-505.27/8.97/f19904 | dependsupon@508.12-558.20/8.79/f58848
