set	sheetRow	book	page	line	class	left	right	pair	verdict	inFinal
911-random-period-sample-125-seed-128	107	911	498	20	punct	.	T	counterterrorism. Timothy	space	yes
911-random-period-sample-125-seed-128	108	911	507	34	punct	.	W	2004. With	space	yes
911-random-period-sample-125-seed-128	109	911	514	15	punct	.	T	2003. The	space	yes
911-random-period-sample-125-seed-128	110	911	519	38	punct	.	T	Tizegha. There	space	yes
911-random-period-sample-125-seed-128	111	911	527	1	punct	.	T	2004. The	space	yes
911-random-period-sample-125-seed-128	112	911	532	35	punct	.	T	corroborated. The	space	yes
911-random-period-sample-125-seed-128	113	911	532	35	punct	.	T	mosque). The	space	yes
911-random-period-sample-125-seed-128	114	911	544	41	punct	.	T	operation. The	space	yes
911-random-period-sample-125-seed-128	115	911	551	11	punct	.	W	2003). We	space	yes
911-random-period-sample-125-seed-128	116	911	554	31	punct	.	W	terterrorism. We	space	yes
911-random-period-sample-125-seed-128	117	911	554	31	punct	.	T	relationship. This	space	yes
911-random-period-sample-125-seed-128	118	911	556	41	punct	.	T	agents. This	space	yes
911-random-period-sample-125-seed-128	119	911	572	6	punct	.	W	1). We	space	yes
911-random-period-sample-125-seed-128	120	911	573	40	punct	.	T	2002. The	space	yes
911-random-period-sample-125-seed-128	121	911	575	30	punct	.	T	2004). The	space	yes
911-random-period-sample-125-seed-128	122	911	577	60	punct	.	T	options. The	space	yes
911-random-period-sample-125-seed-128	123	911	578	26	punct	.	T	Afghanistan. The	space	yes
911-random-period-sample-125-seed-128	124	911	582	51	punct	.	V	U.S. VISIT	space (source closed; the book writes US VISIT elsewhere)	yes
911-every-non-period-insertion	0	911	19	6	punct	,	V	Arlington, Vir-	space	yes
911-every-non-period-insertion	1	911	35	27	punct	,	V	Hampton, Virginia.100	space	yes
911-every-non-period-insertion	2	911	39	12	punct	:	Y	175: Yeah.	space	yes
911-every-non-period-insertion	3	911	41	5	punct	:	Y	Region: Yes,	space	yes
911-every-non-period-insertion	4	911	44	12	punct	:	Y	FAA: Yes.	space	yes
911-every-non-period-insertion	5	911	48	18	punct	:	Y	Headquarters: Yes.	space	yes
911-every-non-period-insertion	6	911	49	14	punct	:	Y	FAA: Yeah,	space	yes
911-every-non-period-insertion	7	911	49	16	punct	:	Y	FAA: Yes.	space	yes
911-every-non-period-insertion	8	911	55	29	punct	,	V	President, Vice	space	yes
911-every-non-period-insertion	9	911	55	29	punct	,	V	Defense, Vice	space	yes
911-every-non-period-insertion	10	911	58	3	punct	,	V	inside, Vice	space	yes
911-every-non-period-insertion	11	911	61	25	punct	:	Y	SecDef: Yes,	space	yes
911-every-non-period-insertion	12	911	61	30	punct	:	Y	President: Yes,	space	yes
911-every-non-period-insertion	13	911	69	36	punct	,	“	flatly, “Our	space	yes
911-every-non-period-insertion	14	911	75	42	punct	,	W	others, Wadi	space	yes
911-every-non-period-insertion	15	911	129	41	punct	,	T	wall, Tarnak	space	yes
911-every-non-period-insertion	16	911	131	3	punct	”	T	showstoppers.” The	space	yes
911-every-non-period-insertion	17	911	134	16	punct	,	T	Berger, Tenet	space	yes
911-every-non-period-insertion	18	911	165	41	punct	,	Y	1994, Yousef	space	yes
911-every-non-period-insertion	19	911	166	7	punct	,	Y	Sudan, Yemen,	space	yes
911-every-non-period-insertion	20	911	167	3	punct	,	Y	nephew, Yousef.10	space	yes
911-every-non-period-insertion	21	911	169	21	punct	,	Y	member, Yazid	space	yes
911-every-non-period-insertion	22	911	175	32	punct	,	H	Karachi, Hazmi	space	yes
911-every-non-period-insertion	23	911	179	18	punct	,	Y	Bawazir, Yemen.	space	yes
911-every-non-period-insertion	24	911	202	26	punct	,	T	alert, Tenet	space	yes
911-every-non-period-insertion	25	911	207	13	punct	,	V	operations, Vice	space	yes
911-every-non-period-insertion	26	911	219	36	punct	,	T	25, Tenet	space	yes
911-every-non-period-insertion	27	911	231	30	punct	,	T	Rice, Tenet,	space	yes
911-every-non-period-insertion	28	911	245	5	punct	,	V	Church, Virginia.64	space	yes
911-every-non-period-insertion	29	911	250	1	punct	,	W	Shehri, Waleed	space	yes
911-every-non-period-insertion	30	911	271	2	punct	,	V	Herndon, Virginia,	space	yes
911-every-non-period-insertion	31	911	281	10	punct	,	T	Rice, Tenet	space	yes
911-every-non-period-insertion	32	911	332	39	punct	,	T	Alcohol, Tobacco,	space	yes
911-every-non-period-insertion	33	911	344	32	punct	,	W	accumulated, White	space	yes
911-every-non-period-insertion	34	911	354	23	punct	,	Y	Somalia, Yemen,	space	yes
911-every-non-period-insertion	35	911	358	33	punct	,	V	Langley, Virginia,	space	yes
911-every-non-period-insertion	36	911	360	34	punct	”	T	capability.” The	space	yes
911-every-non-period-insertion	37	911	391	33	punct	,	Y	Pakistan, Yemen,	space	yes
911-every-non-period-insertion	38	911	452	36	punct	,	V	Church, VA),	space	yes
911-every-non-period-insertion	39	911	457	20	punct	,	V	Fetchet, Voices	space	yes
911-every-non-period-insertion	40	911	462	23	punct	,	V	Ahern, Vice	space	yes
911-every-non-period-insertion	41	911	469	28	punct	,	“	report, “Air	space	yes
911-every-non-period-insertion	42	911	469	53	punct	”	M	Program,” May	space	yes
911-every-non-period-insertion	43	911	471	44	punct	,	W	email, Woodward	space	yes
911-every-non-period-insertion	44	911	472	46	punct	,	Y	email, Young	space	yes
911-every-non-period-insertion	45	911	474	31	punct	,	W	record, Weight	space	yes
911-every-non-period-insertion	46	911	474	60	punct	,	T	Britton, Thomas	space	yes
911-every-non-period-insertion	47	911	475	40	punct	;	T	2003); Tim	space	yes
911-every-non-period-insertion	48	911	476	29	punct	,	V	tions, Vectors,	space	yes
911-every-non-period-insertion	49	911	476	53	punct	;	T	5; Terry	space	yes
911-every-non-period-insertion	50	911	477	43	punct	,	“	notes, “Based	space	yes
911-every-non-period-insertion	51	911	480	25	punct	:	“	11: “American	space	yes
911-every-non-period-insertion	52	911	480	46	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	53	911	481	57	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	54	911	482	22	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	55	911	482	25	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	56	911	482	44	punct	,	V	transcript, Vice	space	yes
911-every-non-period-insertion	57	911	483	6	punct	:	Y	VP: Yes.	space	yes
