page	tags	groups	imageBacked	invisibleText	validates	applies	pageReason	rejectedGroups	groupReasons	taggedLines	lines
208	91	25	false	false	true	partial	-	12	mcidNotShownOnPage=2,noLineAtOrigin=10,unknownOrigin=2	63	88
209	85	13	false	false	true	partial	Do@L215	0	-	0	82
210	68	13	false	false	true	partial	Do@L215	0	-	0	62
211	98	18	false	false	true	partial	Do@L215	0	-	0	81
212	112	20	false	false	true	partial	Do@L215	0	-	0	84
213	66	12	false	false	true	partial	Do@L215	0	-	0	64
214	42	6	false	false	true	partial	Do@L215	0	-	0	35
215	77	19	false	false	true	partial	-	5	mcidNotShownOnPage=5,unknownOrigin=5	34	59
216	45	10	true	false	true	partial	Do@L215	0	-	0	40
217	66	15	false	false	true	partial	Do@L215	0	-	0	63
218	86	15	false	false	true	partial	Do@L215	0	-	0	81
219	25	5	false	false	true	partial	Do@L215	0	-	0	22
220	63	13	false	false	true	partial	Do@L215	0	-	0	59
221	33	7	false	false	true	partial	Do@L215	0	-	0	36
222	70	12	false	false	true	partial	Do@L215	0	-	0	63
223	46	9	false	false	true	partial	Do@L215	0	-	0	41
224	83	18	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	71	80
225	60	13	false	false	true	partial	Do@L215	0	-	0	55
226	57	11	false	false	true	notAttempted(pageImage)	-	0	-	0	54
227	75	18	false	false	true	partial	Do@L215	0	-	0	70
228	61	8	false	false	true	partial	Do@L215	0	-	0	57
229	35	11	false	false	true	partial	Do@L215	0	-	0	31
230	25	5	false	false	true	partial	Do@L215	0	-	0	24
231	21	7	true	false	true	partial	Do@L215	0	-	0	19
232	114	16	false	false	true	all	-	0	-	97	97
233	51	10	false	false	true	partial	Do@L215	0	-	0	37
234	78	17	false	false	true	partial	-	1	mcidNotShownOnPage=1,unknownOrigin=1	58	73
235	28	7	false	false	true	partial	Do@L215	0	-	0	25
236	38	18	false	false	true	partial	Do@L215	0	-	0	40
237	66	13	false	false	true	partial	-	4	mcidNotShownOnPage=3,noLineAtOrigin=1,unknownOrigin=3	36	57
238	98	15	false	false	true	all	-	0	-	96	97
239	91	25	false	false	true	partial	-	3	mcidNotShownOnPage=1,unknownOrigin=3	81	96
240	97	18	false	false	true	partial	-	2	mcidNotShownOnPage=2,unknownOrigin=2	75	94
241	100	11	false	false	true	partial	-	3	unknownOrigin=3	64	110
242	95	15	false	false	true	all	-	0	-	95	96
