# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold
ITBPKD+Arial	Type0	400	88	4	yes	1		-	no
XNBBCU+Times-Roman	Type0	400	84	6	yes	1		-	no
ISBVAY+ArialNarrow-Bold	TrueType	700	112	32	no	0		-	yes
SJZKKE+Univers-Bold	TrueType	700	132	32	no	0		-	yes
NLXHSO+MyriadPro-Bold	Type1	700	152	32	no	0		-	yes
Arial-Black	TrueType	900	200	32	no	0		-	yes
IOOPAY+Helvetica-Narrow	TrueType	400	72	32	no	0		-	no
# line runs 35589; bold by name rule 3744; bold with font resources 3750; changed 6 on 1 pages
# pages with changes: 1
  p1	Helvetica	F
  p1	Helvetica	AA
  p1	Helvetica	H
  p1	Helvetica	8083
  p1	Helvetica	2
  p1	Helvetica	5C
