# faa-phak-8083-25c pages 1-522; pages whose scan failed: 0
baseFont	subtype	FontWeight	StemV	Flags	ItalicAngle	ToUnicode	shows	PDFKit names	name rule bold	weight-aware bold	name slope	name rule italic	slope-aware italic
XTEHOY+TimesNewRomanPSMT	Type0	400	80	6	0	yes	2		-	no	upright	-	no
YVPHWR+Arial	Type0	400	88	4	0	yes	2		-	no	unstated	-	no
ZATOMU+TimesNewRomanPSMT	Type0	400	80	6	0	yes	2		-	no	upright	-	no
*Arial-257-Identity-H	Type0	-	100	4	0	yes	1	Helvetica×1	no	no	unstated	no	no
ANDERO+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
Arial-ItalicMT	TrueType	400	92	96	-12	no	1		-	no	italic	-	yes
CQJVUK+Latha	Type1	400	88	32	0	no	1		-	no	unstated	-	no
DNQWOS+TimesNewRoman	Type0	400	80	6	0	yes	1		-	no	upright	-	no
HMPKUE+TimesNewRomanPSMT	Type0	400	80	6	0	yes	1		-	no	upright	-	no
HYOPVZ+TimesNewRomanPSMT	Type0	400	80	6	0	yes	1		-	no	upright	-	no
Helvetica-Bold	TrueType	700	140	32	0	yes	1	Helvetica-Bold×1	yes	yes	unstated	no	no
ITBPKD+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
JDWIVB+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
JRBLSW+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
MVGNWQ+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
NKKNSO+Myriad-Italic	Type1	400	88	32	0	no	1		-	no	italic	-	yes
NMQSSO+Helvetica-Bold	Type1	700	75	32	0	no	1		-	yes	unstated	-	no
NNJDSO+TimesNewRomanPS-ItalicMT	TrueType	400	72	98	-17	no	1		-	no	italic	-	yes
NQNQVT+AgencyFB-Reg	Type0	400	64	4	0	yes	1	Helvetica×1	no	no	upright	no	no
OLLXQR+TimesNewRomanPSMT	Type0	400	80	6	0	yes	1		-	no	upright	-	no
PHSJWT+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
PNXKTT+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
ROSSMG+Arial	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
SRFIKE+Times-Italic	Type0	400	80	70	-16	yes	1	Times-Italic×1	no	no	italic	yes	yes
SSYTKE+Helvetica	Type0	400	88	4	0	yes	1		-	no	unstated	-	no
TRREGG+AgencyFB-Reg	Type0	400	64	4	0	yes	1		-	no	upright	-	no
TimesNewRomanPS-ItalicMT	TrueType	400	72	98	-17	no	1		-	no	italic	-	yes
XJODCT+AgencyFB-Reg	Type0	400	64	4	0	yes	1		-	no	upright	-	no
XNBBCU+Times-Roman	Type0	400	84	6	0	yes	1		-	no	upright	-	no
XSHSCU+Helvetica-Bold	Type0	700	140	4	0	yes	1		-	yes	unstated	-	no
Arial-Black	TrueType	900	200	32	0	no	0		-	yes	unstated	-	no
IOOPAY+Helvetica-Narrow	TrueType	400	72	32	0	no	0		-	no	unstated	-	no
ISBVAY+ArialNarrow-Bold	TrueType	700	112	32	0	no	0		-	yes	unstated	-	no
NLXHSO+MyriadPro-Bold	Type1	700	152	32	0	no	0		-	yes	unstated	-	no
SJZKKE+Univers-Bold	TrueType	700	132	32	0	no	0		-	yes	unstated	-	no
# line runs 35589; bold by name rule 3744; bold with font resources 3750; changed 6 on 1 pages
# italic by name rule 1680; italic with font resources 1681; changed 1 on 1 pages
# unresolved mixed-style lines: 147 on 123 pages; by undecoded font kind: TrueType map unsupported 104, TrueType map unsupported+TrueType no ToUnicode 27, TrueType map unsupported+TrueType no ToUnicode+Type1 no ToUnicode 1, TrueType no ToUnicode 14, Type1 no ToUnicode 1
# pages with bold changes: 1
# pages with italic changes: 159
# bold examples
  p1	helvetica	F
  p1	helvetica	AA
  p1	helvetica	H
  p1	helvetica	8083
  p1	helvetica	2
  p1	helvetica	5C
# italic examples
  p159	helvetica	direction of movement of the elevator trim tab.
# unresolved examples
  p13	TrueType map unsupported	ATC Instructions—“Hold Short” ......................14-33
  p13	TrueType map unsupported	ATC Instructions—“Runway Shortened” ..........14-35
  p23	TrueType map unsupported	￼
  p25	TrueType no ToUnicode	￼
  p27	TrueType map unsupported+TrueType no ToUnicode+Type1 no ToUnicode	￼
  p28	TrueType map unsupported	￼
  p32	TrueType no ToUnicode	￼
  p44	TrueType map unsupported	￼
  p45	TrueType map unsupported	￼
  p46	TrueType map unsupported	￼
  p49	TrueType map unsupported	￼
  p54	TrueType map unsupported	￼
  p55	TrueType map unsupported	￼
  p56	TrueType map unsupported	￼
