page	lines	invis	onlyInvis	unsup	regionFrac	nPaints	byKind(path/img/form/sh)	maxSingle	maxSingleKind	maxImg	maxPathFrame	imgUnion
165	156	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
166	211	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
167	275	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
168	202	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
169	65	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
170	175	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
171	207	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
172	258	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
173	89	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
174	120	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
175	197	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
176	235	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
177	151	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
178	123	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
179	177	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
180	148	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
181	177	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
182	133	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
183	198	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
184	48	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
185	150	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
186	144	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
187	198	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
188	169	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
189	57	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
190	47	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
191	102	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
192	174	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
193	206	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
194	139	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
195	88	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
196	158	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
197	78	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
198	254	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
199	157	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
200	261	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
201	146	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
202	146	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
203	161	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
204	189	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
205	141	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
206	167	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
207	269	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
208	201	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
209	81	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
210	206	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.993	1.000
211	225	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
212	225	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
213	196	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
214	101	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
215	215	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
216	172	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
217	198	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
218	163	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
219	113	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
220	182	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
221	113	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
222	190	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
223	161	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
224	177	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
225	101	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
226	165	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
227	160	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
228	131	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
229	169	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000pages 312 of 312

230	207	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
231	141	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
232	182	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
233	122	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.994	1.000
234	154	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
235	96	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.995	1.000
236	210	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
237	234	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
238	173	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.992	1.000
239	228	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.996	1.000
240	152	true	true	false	1.000	1	0/1/0/0	1.000	1	1.000	0.000	0.991	1.000
